11,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,-1
16,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,-1
20,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,-1
21,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,-1
23,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,-1
32,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,-1
36,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,-1
40,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,-1
42,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,-1
55,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,-1
56,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,-1
57,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,-1
58,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,-1
70,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,-1
77,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,-1
78,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,-1
82,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,-1
86,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,-1
94,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,-1
99,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,-1
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1
15,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,1
45,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,1
52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,1
71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,1
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
